"myStrategy","myMNS","myBidMNSDifference","opponentMoveType","opponentMove","opponentIsFinal","myMoveType","myMove","myIsFinal"
"Aggressive","N/A","6","Bid","1.0","false","Bid","0","false"
"Aggressive","N/A","5","Bid","2.0","false","Bid","1.0","false"
"Cooperative","N/A","5","Bid","-1.0","false","Bid","-1.0","false"
"Cooperative","N/A","6","Bid","-2.0","false","Bid","-2.0","false"
"Neutral","N/A","5","Bid","-1.0","false","Bid","-1.0","false"
"Neutral","N/A","5","Bid","-2.0","false","Bid","-1.0","false"
"Cooperative","N/A","3","Bid","-2.0","false","Bid","-2.0","false"
"Cooperative","N/A","2","Bid","-2.0","false","Bid","-2.0","false"
"Cooperative","N/A","2","Bid","-1.0","false","Bid","-1.0","false"
"Cooperative","N/A","1","Bid","-1.0","false","Bid","-1.0","false"
"Cooperative","N/A","3","Bid","0","false","Bid","-1.0","false"
"Cooperative","N/A","1","Bid","0","false","Bid","0","false"
"Cooperative","N/A","1","Bid","-1.0","true","Decision","Reject","false"
"Cooperative","N/A","2","Bid","-1.0","true","Decision","Reject","false"
"Cooperative","1","N/A","Opening","6.0","false","Opening","5.0","false"
"Cooperative","4","N/A","Opening","6.0","false","Opening","6.0","false"
"Cooperative","1","N/A","Opening","5.0","false","Opening","5.0","false"
"Cooperative","4","N/A","Opening","8.0","false","Opening","7.0","false"
"Aggressive","N/A","3","Bid","1.0","false","Bid","0","false"
"Aggressive","N/A","2","Bid","1.0","false","Bid","0","false"
"Aggressive","N/A","1","Bid","-1.0","true","Decision","Reject","false"
"Aggressive","N/A","2","Bid","-1.0","true","Decision","Accept","false"
"Aggressive","N/A","2","Bid","0","false","Bid","0","true"
"Aggressive","N/A","3","Bid","0","false","Bid","-1.0","true"
"Aggressive","1","N/A","Opening","8.0","false","Opening","9.0","false"
"Aggressive","4","N/A","Opening","6.0","false","Opening","7.0","false"
"Aggressive","1","N/A","Opening","7.0","false","Opening","8.0","false"
"Aggressive","4","N/A","Opening","7.0","false","Opening","8.0","false"
"Aggressive","N/A","2","Bid","1.0","false","Quit","Quit","false"
"Neutral","N/A","2","Bid","-2.0","false","Bid","-1.0","false"
"Neutral","N/A","3","Bid","-1.0","false","Bid","-1.0","false"
"Neutral","N/A","1","Bid","-1.0","false","Bid","0","false"
"Neutral","N/A","3","Bid","0","false","Bid","0","false"
"Neutral","N/A","2","Bid","0","false","Bid","0","false"
"Neutral","N/A","1","Bid","0","false","Bid","0","true"
"Neutral","N/A","2","Bid","0","false","Bid","-1.0","true"
"Neutral","N/A","1","Bid","-1.0","true","Decision","Accept","false"
"Neutral","N/A","0","Bid","-1.0","true","Decision","Reject","false"
"Neutral","3","N/A","Opening","7.0","false","Opening","7.0","false"
"Neutral","1","0","Bid","0","false","Quit","Quit","false"
